"LocationId","EffectiveStartDate","EffectiveEndDate","LocationCode","LocationName","ActiveStatus","CountryCode","CountryName","Region1","Region2","TownOrCity","PostalCode","SetId","SetCode","SetName","SingleLineAddress"
300000230199598,"1951-01-01","4712-12-31","2108","DS - Orumiyeh, Iran, Islamic Republic of","A","IR","Iran, Islamic Republic of",,,"Orumiyeh",,0,"COMMON","Common Set","NA, ORUMIYEH, IRAN, ISLAMIC REPUBLIC OF"
300000230201410,"1951-01-01","4712-12-31","2313","DS - Osaka, Japan","A","JP","Japan",,"Osaka","Osaka-Shi","543-0001",0,"COMMON","Common Set","JAPAN, 543-0001, Osaka, Osaka-Shi, NA"
300000230198510,"1951-01-01","4712-12-31","2452","DS - Osh, Kyrgyzstan","A","KG","Kyrgyzstan",,,"Osh",,0,"COMMON","Common Set","NA, OSH, KYRGYZSTAN"
300000230204676,"1951-01-01","4712-12-31","6988","DS - Oshakati, Namibia","A","NA","Namibia",,,"Oshakati",,0,"COMMON","Common Set","NA, OSHAKATI, NAMIBIA"
300000230195158,"1951-01-01","4712-12-31","1032","DS - Osijek, Croatia","A","HR","Croatia",," ","Osijek",,0,"COMMON","Common Set","NA, OSIJEK, CROATIA"
300000230199486,"1951-01-01","4712-12-31","3240","DS - Oslo, Norway","A","NO","Norway",," ","Oslo",,0,"COMMON","Common Set","NA, NORWAY-Oslo"
300000230203459,"1951-01-01","4712-12-31","698A","DS - Osona, Namibia","A","NA","Namibia",,,"Osona",,0,"COMMON","Common Set","NA, OSONA, NAMIBIA"
300000230197109,"1951-01-01","4712-12-31","1356","DS - Otavalo, Ecuador","A","EC","Ecuador",," ","Otavalo",,0,"COMMON","Common Set","NA, OTAVALO, ECUADOR"
300000230195813,"1951-01-01","4712-12-31","0720","DS - Ottawa, Canada","A","CA","Canada",,,"Ottawa",,0,"COMMON","Common Set","NA, OTTAWA ON, CANADA"
300000230204978,"1951-01-01","4712-12-31","4590","DS - Ouagadougou, Burkina Faso","A","BF","Burkina Faso",,,"Ouagadougou",,0,"COMMON","Common Set","NA, OUAGADOUGOU, BURKINA FASO"
300000230204057,"1951-01-01","4712-12-31","4598","DS - Ouahigouya, Burkina Faso","A","BF","Burkina Faso",,,"Ouahigouya",,0,"COMMON","Common Set","NA, OUAHIGOUYA, BURKINA FASO"
300000230202769,"1951-01-01","4712-12-31","3189","DS - Ouallam, Niger","A","NE","Niger",,,"Ouallam",,0,"COMMON","Common Set","NA, OUALLAM, NIGER"
