"OrganizationId","EffectiveStartDate","EffectiveEndDate","Name","Title","Status","LocationId","LocationCode","LocationName","SetId","SetCode","SetName"
300000229724191,"1951-01-01","4712-12-31","Argentina - HIV/AIDS",,"A",,,,300000229588821,"UNDP","UNDP Set"
300000229721937,"1951-01-01","4712-12-31","Argentina - Human Resources",,"A",,,,300000229588821,"UNDP","UNDP Set"
300000229723141,"1951-01-01","4712-12-31","Argentina - ICT",,"A",,,,300000229588821,"UNDP","UNDP Set"
300000229722168,"1951-01-01","4712-12-31","Argentina - ICT for Developmnt",,"A",,,,300000229588821,"UNDP","UNDP Set"
300000229721968,"1951-01-01","4712-12-31","Argentina - Poverty Reduction",,"A",,,,300000229588821,"UNDP","UNDP Set"
300000229722488,"1951-01-01","4712-12-31","Argentina - Procmnt & Travel",,"A",,,,300000229588821,"UNDP","UNDP Set"
300000229721253,"1951-01-01","4712-12-31","Argentina - Service Center",,"A",,,,300000229588821,"UNDP","UNDP Set"
300000229722456,"1951-01-01","4712-12-31","Argentina - UN Dev Coord",,"A",,,,300000229588821,"UNDP","UNDP Set"
300000229723666,"1951-01-01","4712-12-31","Argentina-UN Sister Agency",,"A",,,,300000229588821,"UNDP","UNDP Set"
300000238280203,"1951-01-01","4712-12-31","Armenia",,"A",,,,300000229588822,"UNWOMEN","UNWOMEN Set"
300000235504703,"1951-01-01","4712-12-31","Armenia - Central",,"A",,,,300000229588821,"UNDP","UNDP Set"
300000235514204,"1951-01-01","4712-12-31","Armenia - Crisis Prev & Rcvry",,"A",,,,300000229588821,"UNDP","UNDP Set"
300000235509080,"1951-01-01","4712-12-31","Armenia - Dem. Governance",,"A",,,,300000229588821,"UNDP","UNDP Set"
300000235670884,"1951-01-01","4712-12-31","Armenia - Energy & Envirnmnt",,"A",,,,300000229588821,"UNDP","UNDP Set"
300000235508849,"1951-01-01","4712-12-31","Armenia - Finance",,"A",,,,300000229588821,"UNDP","UNDP Set"
300000235504487,"1951-01-01","4712-12-31","Armenia - General Services",,"A",,,,300000229588821,"UNDP","UNDP Set"
300000235504567,"1951-01-01","4712-12-31","Armenia - HIV/AIDS",,"A",,,,300000229588821,"UNDP","UNDP Set"
300000235503675,"1951-01-01","4712-12-31","Armenia - Human Resources",,"A",,,,300000229588821,"UNDP","UNDP Set"
300000235502023,"1951-01-01","4712-12-31","Armenia - ICT for Development",,"A",,,,300000229588821,"UNDP","UNDP Set"
300000235514187,"1951-01-01","4712-12-31","Armenia - Poverty Reduction",,"A",,,,300000229588821,"UNDP","UNDP Set"
300000235501699,"1951-01-01","4712-12-31","Armenia - Procmnt & Travel",,"A",,,,300000229588821,"UNDP","UNDP Set"
300000235516006,"1951-01-01","4712-12-31","Armenia - Service Center",,"A",,,,300000229588821,"UNDP","UNDP Set"
300000235487884,"1951-01-01","4712-12-31","Armenia - Sub-office",,"A",,,,300000229588821,"UNDP","UNDP Set"
300000235503206,"1951-01-01","4712-12-31","Armenia - UN Dev Coord",,"A",,,,300000229588821,"UNDP","UNDP Set"
300000235508731,"1951-01-01","4712-12-31","Armenia-UN Sister Agency",,"A",,,,300000229588821,"UNDP","UNDP Set"
300000235490507,"1951-01-01","4712-12-31","Armenia-WFP",,"A",,,,300000229588821,"UNDP","UNDP Set"
300000235520111,"1951-01-01","4712-12-31","Aruba - Cty Pgmm",,"A",,,,300000229588821,"UNDP","UNDP Set"
300000235519121,"1951-01-01","4712-12-31","Audit Coordination",,"A",,,,300000229588822,"UNWOMEN","UNWOMEN Set"
300000235501148,"1951-01-01","4712-12-31","Azerbaijan",,"A",,,,300000229588822,"UNWOMEN","UNWOMEN Set"
300000235518368,"1951-01-01","4712-12-31","Azerbaijan - Central",,"A",,,,300000229588821,"UNDP","UNDP Set"
300000235498927,"1951-01-01","4712-12-31","Azerbaijan - Dem. Governance",,"A",,,,300000229588821,"UNDP","UNDP Set"
300000235517524,"1951-01-01","4712-12-31","Azerbaijan - Energy &Envirnmnt",,"A",,,,300000229588821,"UNDP","UNDP Set"
300000235508808,"1951-01-01","4712-12-31","Azerbaijan - Finance",,"A",,,,300000229588821,"UNDP","UNDP Set"
300000235510325,"1951-01-01","4712-12-31","Azerbaijan - Gender Equality",,"A",,,,300000229588821,"UNDP","UNDP Set"
300000235513657,"1951-01-01","4712-12-31","Azerbaijan - General Services",,"A",,,,300000229588821,"UNDP","UNDP Set"
300000235644236,"1951-01-01","4712-12-31","Azerbaijan - HIV/AIDS",,"A",,,,300000229588821,"UNDP","UNDP Set"
300000235519483,"1951-01-01","4712-12-31","Azerbaijan - Human Resources",,"A",,,,300000229588821,"UNDP","UNDP Set"
300000235512826,"1951-01-01","4712-12-31","Azerbaijan - ICT",,"A",,,,300000229588821,"UNDP","UNDP Set"
300000235490661,"1951-01-01","4712-12-31","Azerbaijan - ICT for Develpmnt",,"A",,,,300000229588821,"UNDP","UNDP Set"
300000235492506,"1951-01-01","4712-12-31","Azerbaijan - Poverty Reduction",,"A",,,,300000229588821,"UNDP","UNDP Set"
300000235496517,"1951-01-01","4712-12-31","Azerbaijan - Procmnt & Travel",,"A",,,,300000229588821,"UNDP","UNDP Set"
300000235515421,"1951-01-01","4712-12-31","Azerbaijan - Service Center",,"A",,,,300000229588821,"UNDP","UNDP Set"
300000235493731,"1951-01-01","4712-12-31","Azerbaijan - UN Dev Coord",,"A",,,,300000229588821,"UNDP","UNDP Set"
300000235516681,"1951-01-01","4712-12-31","Azerbaijan -Crisis Prev &Rcvry",,"A",,,,300000229588821,"UNDP","UNDP Set"
300000235508622,"1951-01-01","4712-12-31","Azerbaijan-UN Sister Agency",,"A",,,,300000229588821,"UNDP","UNDP Set"
300000235511612,"1951-01-01","4712-12-31","Bahamas - Cty Pgmm",,"A",,,,300000229588821,"UNDP","UNDP Set"
300000235491670,"1951-01-01","4712-12-31","Bahamas-UN Sister Agency",,"A",,,,300000229588821,"UNDP","UNDP Set"
300000238280191,"1951-01-01","4712-12-31","Bahrain",,"A",,,,300000229588822,"UNWOMEN","UNWOMEN Set"
300000235489742,"1951-01-01","4712-12-31","Bahrain - Central",,"A",,,,300000229588821,"UNDP","UNDP Set"
300000235508544,"1951-01-01","4712-12-31","Bahrain - Crisis Prev & Rcvry",,"A",,,,300000229588821,"UNDP","UNDP Set"
300000235518321,"1951-01-01","4712-12-31","Bahrain - Dem. Governance",,"A",,,,300000229588821,"UNDP","UNDP Set"
300000235489933,"1951-01-01","4712-12-31","Bahrain - Energy & Envirnmnt",,"A",,,,300000229588821,"UNDP","UNDP Set"
300000235504985,"1951-01-01","4712-12-31","Bahrain - Finance",,"A",,,,300000229588821,"UNDP","UNDP Set"
300000235498834,"1951-01-01","4712-12-31","Bahrain - General Services",,"A",,,,300000229588821,"UNDP","UNDP Set"
300000235508165,"1951-01-01","4712-12-31","Bahrain - HIV/AIDS",,"A",,,,300000229588821,"UNDP","UNDP Set"
300000235509975,"1951-01-01","4712-12-31","Bahrain - Human Resources",,"A",,,,300000229588821,"UNDP","UNDP Set"
300000235494017,"1951-01-01","4712-12-31","Bahrain - ICT",,"A",,,,300000229588821,"UNDP","UNDP Set"
300000235518561,"1951-01-01","4712-12-31","Bahrain - ICT for Development",,"A",,,,300000229588821,"UNDP","UNDP Set"
300000235519867,"1951-01-01","4712-12-31","Bahrain - Poverty Reduction",,"A",,,,300000229588821,"UNDP","UNDP Set"
300000235516467,"1951-01-01","4712-12-31","Bahrain - Procmnt & Travel",,"A",,,,300000229588821,"UNDP","UNDP Set"
300000235508488,"1951-01-01","4712-12-31","Bahrain - Service Center",,"A",,,,300000229588821,"UNDP","UNDP Set"
300000235515171,"1951-01-01","4712-12-31","Bahrain - Sub-office",,"A",,,,300000229588821,"UNDP","UNDP Set"
300000235645070,"1951-01-01","4712-12-31","Bahrain - UN Dev Coord",,"A",,,,300000229588821,"UNDP","UNDP Set"
300000235493030,"1951-01-01","4712-12-31","Bahrain-UN Sister Agency",,"A",,,,300000229588821,"UNDP","UNDP Set"
300000235514263,"1951-01-01","4712-12-31","Bangkok Regional Hub",,"A",,,,300000229588821,"UNDP","UNDP Set"
300000235502392,"1951-01-01","4712-12-31","Bangladesh",,"A",,,,300000229588822,"UNWOMEN","UNWOMEN Set"
300000229723875,"1951-01-01","4712-12-31","Bangladesh - Administ Agent",,"A",,,,300000229588821,"UNDP","UNDP Set"
300000229721488,"1951-01-01","4712-12-31","Bangladesh - Central",,"A",,,,300000229588821,"UNDP","UNDP Set"
300000229724351,"1951-01-01","4712-12-31","Bangladesh - Dem. Governance",,"A",,,,300000229588821,"UNDP","UNDP Set"
300000229724155,"1951-01-01","4712-12-31","Bangladesh - Finance",,"A",,,,300000229588821,"UNDP","UNDP Set"
300000229722978,"1951-01-01","4712-12-31","Bangladesh - General Services",,"A",,,,300000229588821,"UNDP","UNDP Set"
300000229723305,"1951-01-01","4712-12-31","Bangladesh - HIV/AIDS",,"A",,,,300000229588821,"UNDP","UNDP Set"
300000229723446,"1951-01-01","4712-12-31","Bangladesh - Human Resources",,"A",,,,300000229588821,"UNDP","UNDP Set"
300000229722131,"1951-01-01","4712-12-31","Bangladesh - ICT",,"A",,,,300000229588821,"UNDP","UNDP Set"
300000229723336,"1951-01-01","4712-12-31","Bangladesh - ICT for Develpmnt",,"A",,,,300000229588821,"UNDP","UNDP Set"
300000229721859,"1951-01-01","4712-12-31","Bangladesh - Poverty Reduction",,"A",,,,300000229588821,"UNDP","UNDP Set"
300000229721826,"1951-01-01","4712-12-31","Bangladesh - Procmnt & Travel",,"A",,,,300000229588821,"UNDP","UNDP Set"
300000229721900,"1951-01-01","4712-12-31","Bangladesh - Service Center",,"A",,,,300000229588821,"UNDP","UNDP Set"
300000229723479,"1951-01-01","4712-12-31","Bangladesh - Sub-office",,"A",,,,300000229588821,"UNDP","UNDP Set"
300000229723598,"1951-01-01","4712-12-31","Bangladesh - UN Dev Coord",,"A",,,,300000229588821,"UNDP","UNDP Set"
300000229722620,"1951-01-01","4712-12-31","Bangladesh -Crisis Prev &Rcvry",,"A",,,,300000229588821,"UNDP","UNDP Set"
300000229721444,"1951-01-01","4712-12-31","Bangladesh -Energy & Envirnmnt",,"A",,,,300000229588821,"UNDP","UNDP Set"
300000229722599,"1951-01-01","4712-12-31","Bangladesh-UN Sister Agency",,"A",,,,300000229588821,"UNDP","UNDP Set"
300000229722198,"1951-01-01","4712-12-31","Bangladesh-WFP",,"A",,,,300000229588821,"UNDP","UNDP Set"
300000235490904,"1951-01-01","4712-12-31","BAR/SO/St Vincent & Grenadines",,"A",,,,300000229588821,"UNDP","UNDP Set"
300000235504358,"1951-01-01","4712-12-31","Barbados",,"A",,,,300000229588822,"UNWOMEN","UNWOMEN Set"
300000229723499,"1951-01-01","4712-12-31","Barbados - Central",,"A",,,,300000229588821,"UNDP","UNDP Set"
300000229724159,"1951-01-01","4712-12-31","Barbados - Crisis Prev & Rcvry",,"A",,,,300000229588821,"UNDP","UNDP Set"
300000229723533,"1951-01-01","4712-12-31","Barbados - Dem. Governance",,"A",,,,300000229588821,"UNDP","UNDP Set"
300000229723928,"1951-01-01","4712-12-31","Barbados - Energy & Envirnmnt",,"A",,,,300000229588821,"UNDP","UNDP Set"
300000229723171,"1951-01-01","4712-12-31","Barbados - Finance",,"A",,,,300000229588821,"UNDP","UNDP Set"
300000229722265,"1951-01-01","4712-12-31","Barbados - General Services",,"A",,,,300000229588821,"UNDP","UNDP Set"
300000229723962,"1951-01-01","4712-12-31","Barbados - HIV/AIDS",,"A",,,,300000229588821,"UNDP","UNDP Set"
300000229724192,"1951-01-01","4712-12-31","Barbados - Human Resources",,"A",,,,300000229588821,"UNDP","UNDP Set"
300000229722632,"1951-01-01","4712-12-31","Barbados - ICT for Development",,"A",,,,300000229588821,"UNDP","UNDP Set"
300000229722733,"1951-01-01","4712-12-31","Barbados - Poverty Reduction",,"A",,,,300000229588821,"UNDP","UNDP Set"
300000229721641,"1951-01-01","4712-12-31","Barbados - Procmnt & Travel",,"A",,,,300000229588821,"UNDP","UNDP Set"
