"GradeLadderId","EffectiveStartDate","EffectiveEndDate","Name","ActiveStatus","GradeSetId","GradeTypeCode","GradeType","SetId","SetCode","SetName"
300000230842629,"1951-01-01","4712-12-31","National GS GN Grade Ladder","A",0,"STEP","Grade with steps",0,"COMMON","Common Set"
300000230776193,"1951-01-01","4712-12-31","National GS GQ Grade Ladder","A",0,"STEP","Grade with steps",0,"COMMON","Common Set"
300000230861719,"1951-01-01","4712-12-31","National GS GR Grade Ladder","A",0,"STEP","Grade with steps",0,"COMMON","Common Set"
300000230827289,"1951-01-01","4712-12-31","National GS GT Grade Ladder","A",0,"STEP","Grade with steps",0,"COMMON","Common Set"
300000230787193,"1951-01-01","4712-12-31","National GS GT Grade Ladder <01/09/15","A",0,"STEP","Grade with steps",0,"COMMON","Common Set"
300000231003662,"1951-01-01","4712-12-31","National GS GW Grade Ladder","A",0,"STEP","Grade with steps",0,"COMMON","Common Set"
300000230816886,"1951-01-01","4712-12-31","National GS GY Grade Ladder","A",0,"STEP","Grade with steps",0,"COMMON","Common Set"
300000230879082,"1951-01-01","4712-12-31","National GS HK Grade Ladder","A",0,"STEP","Grade with steps",0,"COMMON","Common Set"
300000231043218,"1951-01-01","4712-12-31","National GS HN Grade Ladder","A",0,"STEP","Grade with steps",0,"COMMON","Common Set"
300000230870582,"1951-01-01","4712-12-31","National GS HR Grade Ladder","A",0,"STEP","Grade with steps",0,"COMMON","Common Set"
300000230917189,"1951-01-01","4712-12-31","National GS HR Grade Ladder <01/12/20","A",0,"STEP","Grade with steps",0,"COMMON","Common Set"
300000230880936,"1951-01-01","4712-12-31","National GS HT Grade Ladder","A",0,"STEP","Grade with steps",0,"COMMON","Common Set"
300000230910850,"1951-01-01","4712-12-31","National GS HU Grade Ladder","A",0,"STEP","Grade with steps",0,"COMMON","Common Set"
300000230895748,"1951-01-01","4712-12-31","National GS ID Grade Ladder","A",0,"STEP","Grade with steps",0,"COMMON","Common Set"
300000230779149,"1951-01-01","4712-12-31","National GS IE Grade Ladder","A",0,"STEP","Grade with steps",0,"COMMON","Common Set"
300000230787117,"1951-01-01","4712-12-31","National GS IL Grade Ladder","A",0,"STEP","Grade with steps",0,"COMMON","Common Set"
300000230795040,"2022-01-01","4712-12-31","National GS IN ICD Grade Ladder","A",0,"STEP","Grade with steps",0,"COMMON","Common Set"
300000230823421,"1951-01-01","4712-12-31","National GS IN SXR Grade Ladder","A",0,"STEP","Grade with steps",0,"COMMON","Common Set"
300000231097971,"1951-01-01","4712-12-31","National GS IQ Grade Ladder","A",0,"STEP","Grade with steps",0,"COMMON","Common Set"
300000230801816,"1951-01-01","4712-12-31","National GS IR Grade Ladder","A",0,"STEP","Grade with steps",0,"COMMON","Common Set"
300000230761711,"1951-01-01","4712-12-31","National GS IT BDS Grade Ladder","A",0,"STEP","Grade with steps",0,"COMMON","Common Set"
300000230771117,"1951-01-01","4712-12-31","National GS IT BDS Grade Ladder <01/04/15","A",0,"STEP","Grade with steps",0,"COMMON","Common Set"
300000231033407,"1951-01-01","4712-12-31","National GS IT ROM Grade Ladder","A",0,"STEP","Grade with steps",0,"COMMON","Common Set"
300000230873717,"1951-01-01","4712-12-31","National GS IT ROM Grade Ladder <01/02/13","A",0,"STEP","Grade with steps",0,"COMMON","Common Set"
300000230939210,"1951-01-01","4712-12-31","National GS JM Grade Ladder","A",0,"STEP","Grade with steps",0,"COMMON","Common Set"
300000230818681,"1951-01-01","4712-12-31","National GS JO Grade Ladder","A",0,"STEP","Grade with steps",0,"COMMON","Common Set"
300000230806550,"1951-01-01","4712-12-31","National GS JP Grade Ladder","A",0,"STEP","Grade with steps",0,"COMMON","Common Set"
300000230978801,"1951-01-01","4712-12-31","National GS KE Grade Ladder","A",0,"STEP","Grade with steps",0,"COMMON","Common Set"
300000231022128,"1951-01-01","4712-12-31","National GS KG Grade Ladder","A",0,"STEP","Grade with steps",0,"COMMON","Common Set"
300000230858904,"1951-01-01","4712-12-31","National GS KH Grade Ladder","A",0,"STEP","Grade with steps",0,"COMMON","Common Set"
300000230969954,"1951-01-01","4712-12-31","National GS KI Grade Ladder","A",0,"STEP","Grade with steps",0,"COMMON","Common Set"
300000231020601,"1951-01-01","4712-12-31","National GS KM Grade Ladder","A",0,"STEP","Grade with steps",0,"COMMON","Common Set"
300000231004854,"1951-01-01","4712-12-31","National GS KM Grade Ladder <01/05/17","A",0,"STEP","Grade with steps",0,"COMMON","Common Set"
300000231076870,"1951-01-01","4712-12-31","National GS KP Grade Ladder","A",0,"STEP","Grade with steps",0,"COMMON","Common Set"
300000230848013,"1951-01-01","4712-12-31","National GS KR Grade Ladder","A",0,"STEP","Grade with steps",0,"COMMON","Common Set"
300000230953238,"1951-01-01","4712-12-31","National GS KW Grade Ladder","A",0,"STEP","Grade with steps",0,"COMMON","Common Set"
300000231067842,"1951-01-01","4712-12-31","National GS KZ Grade Ladder","A",0,"STEP","Grade with steps",0,"COMMON","Common Set"
300000230922995,"1951-01-01","4712-12-31","National GS LA Grade Ladder","A",0,"STEP","Grade with steps",0,"COMMON","Common Set"
300000231003869,"1951-01-01","4712-12-31","National GS LB Grade Ladder","A",0,"STEP","Grade with steps",0,"COMMON","Common Set"
300000230970067,"1951-01-01","4712-12-31","National GS LK Grade Ladder","A",0,"STEP","Grade with steps",0,"COMMON","Common Set"
300000230978218,"1951-01-01","4712-12-31","National GS LR Grade Ladder","A",0,"STEP","Grade with steps",0,"COMMON","Common Set"
300000231023930,"1951-01-01","4712-12-31","National GS LS Grade Ladder","A",0,"STEP","Grade with steps",0,"COMMON","Common Set"
