"SalaryBasisName","SalaryBasisId","FrequencyCode","FrequencyName","Code","Status","SalaryBasisType","ComponentUsage","AnnualizationFactor","SalaryAmountScale","GradeRateId","InputCurrencyCode","ElementTypeId","LegislativeDataGroupId","UseAtRelationshipLevel","UseAtTermsLevel","UseAtAssignmentLevel"
"National Volunteer TT Specialist TTD Salary Basis",300000232393857,"ANNUAL","Annually","TTOY","A","U","NO_COMPONENT",1,2,300000230762047,"TTD",300000231417187,300000002583089,"N","N","Y"
"National Volunteer TT University TTD Salary Basis",300000232393498,"ANNUAL","Annually","TTOE","A","U","NO_COMPONENT",1,2,300000230783897,"TTD",300000231417187,300000002583089,"N","N","Y"
"National Volunteer TT Youth TTD Salary Basis",300000232393980,"ANNUAL","Annually","TTOD","A","U","NO_COMPONENT",1,2,300000230829770,"TTD",300000231417187,300000002583089,"N","N","Y"
"National Volunteer TV Community Volunteer AUD Salary Basis",300000232390277,"ANNUAL","Annually","TUVZ","A","U","NO_COMPONENT",1,2,300000230963147,"AUD",300000231680742,300000002583089,"N","N","Y"
"National Volunteer TV Expert AUD Salary Basis",300000232394153,"ANNUAL","Annually","TUV1","A","U","NO_COMPONENT",1,2,300000231064140,"AUD",300000231680742,300000002583089,"N","N","Y"
"National Volunteer TV Specialist AUD Salary Basis",300000232392694,"ANNUAL","Annually","TUVY","A","U","NO_COMPONENT",1,2,300000231049552,"AUD",300000231680742,300000002583089,"N","N","Y"
"National Volunteer TV University AUD Salary Basis",300000232394164,"ANNUAL","Annually","TUVE","A","U","NO_COMPONENT",1,2,300000230827661,"AUD",300000231680742,300000002583089,"N","N","Y"
"National Volunteer TV Youth AUD Salary Basis",300000232390049,"ANNUAL","Annually","TUVD","A","U","NO_COMPONENT",1,2,300000230763976,"AUD",300000231680742,300000002583089,"N","N","Y"
"National Volunteer TZ Community Volunteer TZS Salary Basis",300000232391425,"ANNUAL","Annually","TZAZ","A","U","NO_COMPONENT",1,2,300000230772796,"TZS",300000231471142,300000002583089,"N","N","Y"
"National Volunteer TZ Expert TZS Salary Basis",300000232394024,"ANNUAL","Annually","TZA1","A","U","NO_COMPONENT",1,2,300000230846155,"TZS",300000231471142,300000002583089,"N","N","Y"
"National Volunteer TZ Specialist TZS Salary Basis",300000232390036,"ANNUAL","Annually","TZAY","A","U","NO_COMPONENT",1,2,300000230964999,"TZS",300000231471142,300000002583089,"N","N","Y"
"National Volunteer TZ University TZS Salary Basis",300000232393997,"ANNUAL","Annually","TZAE","A","U","NO_COMPONENT",1,2,300000231100709,"TZS",300000231471142,300000002583089,"N","N","Y"
"National Volunteer TZ Youth TZS Salary Basis",300000232391586,"ANNUAL","Annually","TZAD","A","U","NO_COMPONENT",1,2,300000231000592,"TZS",300000231471142,300000002583089,"N","N","Y"
"National Volunteer UA Community Volunteer USD Salary Basis",300000232393523,"ANNUAL","Annually","UKRZ","A","U","NO_COMPONENT",1,2,300000230933801,"USD",300000231605164,300000002583089,"N","N","Y"
"National Volunteer UA Expert USD Salary Basis",300000232393026,"ANNUAL","Annually","UKR1","A","U","NO_COMPONENT",1,2,300000231070217,"USD",300000231605164,300000002583089,"N","N","Y"
"National Volunteer UA Specialist USD Salary Basis",300000232392695,"ANNUAL","Annually","UKRY","A","U","NO_COMPONENT",1,2,300000230970013,"USD",300000231605164,300000002583089,"N","N","Y"
"National Volunteer UA University USD Salary Basis",300000232391733,"ANNUAL","Annually","UKRE","A","U","NO_COMPONENT",1,2,300000230963763,"USD",300000231605164,300000002583089,"N","N","Y"
