"OrganizationId","Name","Title","ClassificationCode","OrganizationCode","Status","CreationDate","LastUpdateDate","OrgCode","EffectiveStartDate","EffectiveEndDate"
300000233682337,"CHF",,"HCM_LRU","UNDP:CHF:1","A","2021-11-09T09:59:37+00:00","2021-11-09T11:48:05.106+00:00",,"1951-01-01","4712-12-31"
300000233684410,"CLP",,"HCM_LRU","UNDP:CLP:1","A","2021-11-09T10:00:52+00:00","2021-11-09T11:49:34.959+00:00",,"1951-01-01","4712-12-31"
300000233750307,"GHC",,"HCM_TRU","UNDP:GHC:1","A","2021-11-09T10:41:29+00:00","2021-11-09T12:26:40.576+00:00",,"1951-01-01","4712-12-31"
300000233896770,"GHS",,"HCM_LRU","UNDP:GHS:1","A","2021-11-09T11:06:15+00:00","2021-11-09T12:28:09.257+00:00",,"1951-01-01","4712-12-31"
300000234075321,"GYD",,"HCM_LRU","UNDP:GYD:1","A","2021-11-10T03:26:40+00:00","2021-11-10T03:28:08.067+00:00",,"1951-01-01","4712-12-31"
300000234091394,"HNL",,"HCM_LRU","UNDP:HNL:1","A","2021-11-10T03:28:45+00:00","2021-11-10T03:30:20.385+00:00",,"1951-01-01","4712-12-31"
300000234091467,"HRK",,"HCM_LRU","UNDP:HRK:1","A","2021-11-10T03:30:51+00:00","2021-11-10T03:32:18.153+00:00",,"1951-01-01","4712-12-31"
300000234091759,"INR",,"HCM_LRU","UNDP:INR:1","A","2021-11-10T03:40:11+00:00","2021-11-10T03:41:42.606+00:00",,"1951-01-01","4712-12-31"
300000002435458,"UN Women",,"HCM_LEMP","UNWOMEN","A","2021-04-26T01:37:08+00:00","2021-04-26T01:37:13.884+00:00",,"0001-01-01","4712-12-31"
300000002434510,"UN Women",,"HCM_LRU","UNWOMEN:UN Women:UNWOMEN","A","2021-04-26T01:37:17+00:00","2021-04-26T01:37:22.647+00:00",,"0001-01-01","4712-12-31"
300000002435475,"United Nations System Staff College",,"HCM_LEMP","UNSSC","A","2021-04-26T01:39:50+00:00","2021-04-26T01:39:50.481+00:00",,"0001-01-01","4712-12-31"
300000002387735,"United Nations System Staff College",,"HCM_LRU","UNSSC:United Nations System Staff College:UNSSC","A","2021-04-26T01:39:54+00:00","2021-04-26T01:39:57.522+00:00",,"0001-01-01","4712-12-31"
300000229641317,"UNDP-BRB",,"FUN_BUSINESS_UNIT","CB268697447A9703E05396D76F0A84CB 300000229641317 2021-10-11 22.06.13.01","A","2021-10-11T22:06:13.010+00:00","2021-10-11T22:06:36.228+00:00",,"0001-01-01","4712-12-31"
300000229721253,"Argentina - Service Center",,"DEPARTMENT","CB2686BA773E9717E05396D76F0A33AC 300000229721253 2021-10-18 10.35.02.176","A","2021-10-18T10:35:02.176+00:00","2021-10-18T10:35:51.941+00:00",,"1951-01-01","4712-12-31"
300000229721422,"India - Finance",,"DEPARTMENT","CB2697BC02A0970FE05396D76F0A6DAF 300000229721422 2021-10-18 10.36.00.618","A","2021-10-18T10:36:00.618+00:00","2021-10-18T10:36:01.459+00:00",,"1951-01-01","4712-12-31"
300000229721859,"Bangladesh - Poverty Reduction",,"DEPARTMENT","CB262942CDD79707E05396D76F0A67BA 300000229721859 2021-10-18 10.36.16.684","A","2021-10-18T10:36:16.684+00:00","2021-10-18T10:36:17.455+00:00",,"1951-01-01","4712-12-31"
300000229721900,"Bangladesh - Service Center",,"DEPARTMENT","CB2697BC02A4970FE05396D76F0A6DAF 300000229721900 2021-10-18 10.36.17.79","A","2021-10-18T10:36:17.790+00:00","2021-10-18T10:36:18.516+00:00",,"1951-01-01","4712-12-31"
300000229721935,"Morocco - Human Resources",,"DEPARTMENT","CB2692CA42A6970BE05396D76F0A6DDF 300000229721935 2021-10-18 10.36.18.864","A","2021-10-18T10:36:18.864+00:00","2021-10-18T10:36:19.586+00:00",,"1951-01-01","4712-12-31"
300000229722230,"Ethiopia - ICT for Development",,"DEPARTMENT","CB2686BA77619717E05396D76F0A33AC 300000229722230 2021-10-18 10.36.33.311","A","2021-10-18T10:36:33.311+00:00","2021-10-18T10:36:34.106+00:00",,"1951-01-01","4712-12-31"
300000229723182,"Jordan - Human Resources",,"DEPARTMENT","CB262942CDE09707E05396D76F0A67BA 300000229723182 2021-10-18 10.37.03.921","A","2021-10-18T10:37:03.921+00:00","2021-10-18T10:37:04.622+00:00",,"1951-01-01","4712-12-31"
300000229723314,"India - Procmnt & Travel",,"DEPARTMENT","CB2686BA77739717E05396D76F0A33AC 300000229723314 2021-10-18 10.37.08.119","A","2021-10-18T10:37:08.119+00:00","2021-10-18T10:37:08.836+00:00",,"1951-01-01","4712-12-31"
300000229723347,"Iraq - Service Center",,"DEPARTMENT","CB2692CA42B6970BE05396D76F0A6DDF 300000229723347 2021-10-18 10.37.09.178","A","2021-10-18T10:37:09.178+00:00","2021-10-18T10:37:09.887+00:00",,"1951-01-01","4712-12-31"
300000229723545,"Field Office",,"DEPARTMENT","CB2693833CF89719E05396D76F0A13FF 300000229723545 2021-10-18 10.37.15.369","A","2021-10-18T10:37:15.369+00:00","2021-10-18T10:37:16.041+00:00",,"1951-01-01","4712-12-31"
300000229723677,"Morocco - ICT for Development",,"DEPARTMENT","CB2686BA77819717E05396D76F0A33AC 300000229723677 2021-10-18 10.37.20.138","A","2021-10-18T10:37:20.138+00:00","2021-10-18T10:37:20.874+00:00",,"1951-01-01","4712-12-31"
300000229723776,"India - ICT for Development",,"DEPARTMENT","CB26BD218E699715E05396D76F0A368C 300000229723776 2021-10-18 10.37.23.241","A","2021-10-18T10:37:23.241+00:00","2021-10-18T10:37:23.938+00:00",,"1951-01-01","4712-12-31"
300000229778488,"UNW Project Unit",,"PRJ_PROJECT_UNIT","CB2686BA88D39717E05396D76F0A33AC 300000229778488 2021-10-21 06.59.24.7","A","2021-10-21T06:59:24.700+00:00","2021-10-21T07:00:48.846+00:00",,"0001-01-01","4712-12-31"
300000229844050,"UNW-G0024",,"CONTRACTS_RESOURCE_ORGANIZATION","CB2693834F6A9719E05396D76F0A13FF 300000229844050 2021-10-25 11.35.17.0","A","2021-10-25T11:35:17+00:00","2021-10-25T11:35:33.373+00:00",,"2021-10-25","4712-12-31"
300000229844086,"UNW-JOR",,"CONTRACTS_RESOURCE_ORGANIZATION","CB2686BA9B989717E05396D76F0A33AC 300000229844086 2021-10-25 11.36.46.0","A","2021-10-25T11:36:46+00:00","2021-10-25T11:36:52.985+00:00",,"2021-10-25","4712-12-31"
300000232079045,"UNW-MEX",,"FUN_BUSINESS_UNIT","CF4B46D1796045F5E05396D76F0AA6E9 300000232079045 2021-10-29 03.28.33.006","A","2021-10-29T03:28:33.006+00:00","2021-10-29T03:29:10.438+00:00",,"0001-01-01","4712-12-31"
300000229721838,"Brazil - Central",,"PA_EXPENDITURE_ORG","CB268B17A9A0267AE05394D76F0ACB16 300000229721838 2021-10-18 10.36.15.743","A","2021-10-18T10:36:15.743+00:00","2021-10-18T10:36:16.469+00:00",,"1951-01-01","4712-12-31"
300000233682264,"CAD",,"HCM_TRU","UNDP:CAD:1","A","2021-11-09T09:58:24+00:00","2021-11-09T11:46:45.299+00:00",,"1951-01-01","4712-12-31"
300000234091905,"IRR",,"HCM_LRU","UNDP:IRR:1","A","2021-11-10T03:45:52+00:00","2021-11-10T03:47:40.796+00:00",,"1951-01-01","4712-12-31"
300000234092124,"JPY",,"HCM_LRU","UNDP:JPY:1","A","2021-11-10T03:52:42+00:00","2021-11-10T03:54:13.418+00:00",,"1951-01-01","4712-12-31"
300000234127501,"LVL",,"HCM_TRU","UNDP:LVL:1","A","2021-11-10T04:46:26+00:00","2021-11-10T04:47:53.661+00:00",,"1951-01-01","4712-12-31"
300000234127647,"MAD",,"HCM_LRU","UNDP:MAD:1","A","2021-11-10T04:57:17+00:00","2021-11-10T04:58:44.402+00:00",,"1951-01-01","4712-12-31"
300000234127939,"MKD",,"HCM_LRU","UNDP:MKD:1","A","2021-11-10T05:18:16+00:00","2021-11-10T05:19:43.048+00:00",,"1951-01-01","4712-12-31"
300000234133751,"TND",,"HCM_LRU","UNDP:TND:1","A","2021-11-10T05:33:41+00:00","2021-11-10T06:25:40.509+00:00",,"1951-01-01","4712-12-31"
300000002438696,"United Nations Development Programme",,"HCM_LEMP","UNDP","A","2021-04-26T01:32:05+00:00","2021-04-26T01:32:11.846+00:00",,"0001-01-01","4712-12-31"
300000002438696,"United Nations Development Programme",,"HCM_PSU","UNDP","A","2021-04-26T01:32:05+00:00","2021-04-26T01:32:11.846+00:00",,"0001-01-01","4712-12-31"
300000002389519,"United Nations Development Programme",,"HCM_LRU","UNDP:United Nations Development Programme:UNDP","A","2021-04-26T01:32:16+00:00","2021-04-26T01:32:22.836+00:00",,"0001-01-01","4712-12-31"
300000002439603,"United Nations Institute for Training and Research",,"HCM_LEMP","UNITAR","A","2021-04-26T01:38:54+00:00","2021-04-26T01:39:00.117+00:00",,"0001-01-01","4712-12-31"
300000002438715,"United Nations Institute for Training and Research",,"HCM_LRU","UNITAR:United Nations Institute for Training and Research:UNITAR","A","2021-04-26T01:39:01+00:00","2021-04-26T01:39:01.515+00:00",,"0001-01-01","4712-12-31"
300000002438732,"United Nations Capital Development Fund",,"HCM_LRU","UNCDF:United Nations Capital Development Fund:UNCDF","A","2021-04-26T01:51:39+00:00","2021-04-26T01:51:39.475+00:00",,"0001-01-01","4712-12-31"
300000229721389,"Rep ofYemen-Common Services",,"DEPARTMENT","CB2686BA77469717E05396D76F0A33AC 300000229721389 2021-10-18 10.35.59.382","A","2021-10-18T10:35:59.382+00:00","2021-10-18T10:36:00.220+00:00",,"1951-01-01","4712-12-31"
300000229723908,"Brazil-WFP",,"DEPARTMENT","CB26C1C556D79713E05396D76F0AE0BD 300000229723908 2021-10-18 10.37.27.5","A","2021-10-18T10:37:27.500+00:00","2021-10-18T10:37:28.228+00:00",,"1951-01-01","4712-12-31"
300000229724015,"Brazil - Crisis Prev & Rcvry",,"DEPARTMENT","CB26E728163E971BE05396D76F0A0F70 300000229724015 2021-10-18 10.37.30.783","A","2021-10-18T10:37:30.783+00:00","2021-10-18T10:37:31.516+00:00",,"1951-01-01","4712-12-31"
300000229811339,"Budgetary - Division for Planet",,"DEPARTMENT","CB26869756179703E05396D76F0A84CB 300000229811339 2021-10-22 15.34.35.08","A","2021-10-22T15:34:35.080+00:00","2021-10-22T15:34:35.783+00:00",,"1951-01-01","4712-12-31"
300000234127939,"MKD",,"HCM_TRU","UNDP:MKD:1","A","2021-11-10T05:18:16+00:00","2021-11-10T05:19:43.048+00:00",,"1951-01-01","4712-12-31"
300000234135408,"VEB",,"HCM_LRU","UNDP:VEB:1","A","2021-11-10T05:44:03+00:00","2021-11-10T07:03:46.482+00:00",,"1951-01-01","4712-12-31"
300000234135481,"VEF",,"HCM_LRU","UNDP:VEF:1","A","2021-11-10T05:45:06+00:00","2021-11-10T07:07:43.999+00:00",,"1951-01-01","4712-12-31"
300000234128231,"MOP",,"HCM_TRU","UNDP:MOP:1","A","2021-11-10T05:25:02+00:00","2021-11-10T05:50:48.890+00:00",,"1951-01-01","4712-12-31"
300000234138411,"MUR",,"HCM_TRU","UNDP:MUR:1","A","2021-11-10T05:56:12+00:00","2021-11-10T05:58:05.255+00:00",,"1951-01-01","4712-12-31"
300000234138744,"MYR",,"HCM_LRU","UNDP:MYR:1","A","2021-11-10T06:05:50+00:00","2021-11-10T06:07:22.260+00:00",,"1951-01-01","4712-12-31"
300000234138744,"MYR",,"HCM_TRU","UNDP:MYR:1","A","2021-11-10T06:05:50+00:00","2021-11-10T06:07:22.260+00:00",,"1951-01-01","4712-12-31"
300000234133450,"THB",,"HCM_TRU","UNDP:THB:1","A","2021-11-10T05:28:35+00:00","2021-11-10T06:10:11.089+00:00",,"1951-01-01","4712-12-31"
300000234139036,"NGN",,"HCM_LRU","UNDP:NGN:1","A","2021-11-10T06:14:43+00:00","2021-11-10T06:16:40.581+00:00",,"1951-01-01","4712-12-31"
300000234139036,"NGN",,"HCM_TRU","UNDP:NGN:1","A","2021-11-10T06:14:43+00:00","2021-11-10T06:16:40.581+00:00",,"1951-01-01","4712-12-31"
300000234139109,"NIO",,"HCM_TRU","UNDP:NIO:1","A","2021-11-10T06:20:32+00:00","2021-11-10T06:22:43.010+00:00",,"1951-01-01","4712-12-31"
300000234133751,"TND",,"HCM_TRU","UNDP:TND:1","A","2021-11-10T05:33:41+00:00","2021-11-10T06:25:40.509+00:00",,"1951-01-01","4712-12-31"
300000234133824,"TRL",,"HCM_TRU","UNDP:TRL:1","A","2021-11-10T05:35:06+00:00","2021-11-10T06:32:00.727+00:00",,"1951-01-01","4712-12-31"
300000234134116,"UAH",,"HCM_TRU","UNDP:UAH:1","A","2021-11-10T05:39:34+00:00","2021-11-10T06:47:45.716+00:00",,"1951-01-01","4712-12-31"
300000127715258,"UNDP-BGD",,"FUN_BUSINESS_UNIT","C0C34916BEB619C2E05312166E0A040C 300000127715258 2021-04-26 01.57.45.008","A","2021-04-26T01:57:45.008+00:00","2021-04-26T01:58:06.991+00:00",,"0001-01-01","4712-12-31"
300000127715271,"UNDP-ETH",,"FUN_BUSINESS_UNIT","C0C34916BEBB19C2E05312166E0A040C 300000127715271 2021-04-26 01.58.40.007","A","2021-04-26T01:58:40.007+00:00","2021-04-26T01:58:57.532+00:00",,"0001-01-01","4712-12-31"
300000127715366,"UNU-HQ",,"FUN_BUSINESS_UNIT","C0C34916BEC019C2E05312166E0A040C 300000127715366 2021-04-26 02.07.40.004","A","2021-04-26T02:07:40.004+00:00","2021-04-26T02:08:14.748+00:00",,"0001-01-01","4712-12-31"
300000229667373,"UNDP-IND",,"FUN_BUSINESS_UNIT","CB26CC8FBD2A9711E05396D76F0AC129 300000229667373 2021-10-11 22.08.11.006","A","2021-10-11T22:08:11.006+00:00","2021-10-11T22:08:34.514+00:00",,"0001-01-01","4712-12-31"
300000229721356,"Morocco - Poverty Reduction",,"DEPARTMENT","CB2686BA77429717E05396D76F0A33AC 300000229721356 2021-10-18 10.35.57.945","A","2021-10-18T10:35:57.945+00:00","2021-10-18T10:35:58.985+00:00",,"1951-01-01","4712-12-31"
300000229722131,"Bangladesh - ICT",,"DEPARTMENT","CB2692CA42AA970BE05396D76F0A6DDF 300000229722131 2021-10-18 10.36.30.342","A","2021-10-18T10:36:30.342+00:00","2021-10-18T10:36:31.018+00:00",,"1951-01-01","4712-12-31"
300000229722265,"Barbados - General Services",,"DEPARTMENT","CB2686BA77669717E05396D76F0A33AC 300000229722265 2021-10-18 10.36.34.448","A","2021-10-18T10:36:34.448+00:00","2021-10-18T10:36:35.211+00:00",,"1951-01-01","4712-12-31"
300000229722665,"Egypt - Human Resources",,"DEPARTMENT","CB3D2FFECE029883E05396D76F0A617C 300000229722665 2021-10-18 10.36.47.774","A","2021-10-18T10:36:47.774+00:00","2021-10-18T10:36:48.516+00:00",,"1951-01-01","4712-12-31"
300000229723479,"Bangladesh - Sub-office",,"DEPARTMENT","CB2692CA42BA970BE05396D76F0A6DDF 300000229723479 2021-10-18 10.37.13.334","A","2021-10-18T10:37:13.334+00:00","2021-10-18T10:37:13.990+00:00",,"1951-01-01","4712-12-31"
300000229723875,"Bangladesh - Administ Agent",,"DEPARTMENT","CB2692CA42BD970BE05396D76F0A6DDF 300000229723875 2021-10-18 10.37.26.412","A","2021-10-18T10:37:26.412+00:00","2021-10-18T10:37:27.156+00:00",,"1951-01-01","4712-12-31"
300000229667678,"UNDP-VEN",,"PA_PROJECT_ORG","CB26BA8F6AF326CFE05394D76F0A8193 300000229667678 2021-10-12 18.37.12.011","A","2021-10-12T18:37:12.011+00:00","2021-10-12T18:37:28.696+00:00",,"0001-01-01","4712-12-31"
300000229778739,"RBEC - Bureau",,"HCM_DIVISION","CB26AF50A7B12698E05394D76F0A0F90 300000229778739 2021-10-22 15.16.52.0","A","2021-10-22T15:16:52+00:00","2021-10-22T15:17:03.350+00:00",,"2021-10-22","4712-12-31"
300000229811218,"Budgetary - Afghanistan - Kabul",,"DEPARTMENT","CB26BD21AA049715E05396D76F0A368C 300000229811218 2021-10-22 15.34.23.438","A","2021-10-22T15:34:23.438+00:00","2021-10-22T15:34:24.188+00:00",,"1951-01-01","4712-12-31"
300000127715310,"UNDP-HQ",,"PRJ_PROJECT_UNIT","C0C6FFF63275C5DDE05310166E0A1579 300000127715310 2021-04-26 02.00.41.007","A","2021-04-26T02:00:41.007+00:00","2021-04-26T02:01:10.120+00:00",,"0001-01-01","4712-12-31"
300000234075321,"GYD",,"HCM_TRU","UNDP:GYD:1","A","2021-11-10T03:26:40+00:00","2021-11-10T03:28:08.067+00:00",,"1951-01-01","4712-12-31"
300000234092197,"KES",,"HCM_TRU","UNDP:KES:1","A","2021-11-10T03:54:47+00:00","2021-11-10T03:56:10.803+00:00",,"1951-01-01","4712-12-31"
300000234127647,"MAD",,"HCM_TRU","UNDP:MAD:1","A","2021-11-10T04:57:17+00:00","2021-11-10T04:58:44.402+00:00",,"1951-01-01","4712-12-31"
300000234138671,"MXN",,"HCM_TRU","UNDP:MXN:1","A","2021-11-10T06:03:09+00:00","2021-11-10T06:05:14.507+00:00",,"1951-01-01","4712-12-31"
300000234134189,"UGX",,"HCM_TRU","UNDP:UGX:1","A","2021-11-10T05:40:32+00:00","2021-11-10T06:51:40.120+00:00",,"1951-01-01","4712-12-31"
300000234146451,"PAB",,"HCM_TRU","UNDP:PAB:1","A","2021-11-10T06:54:16+00:00","2021-11-10T06:55:55.383+00:00",,"1951-01-01","4712-12-31"
300000234146524,"PEN",,"HCM_TRU","UNDP:PEN:1","A","2021-11-10T06:56:46+00:00","2021-11-10T06:58:36.329+00:00",,"1951-01-01","4712-12-31"
300000234134335,"UYU",,"HCM_TRU","UNDP:UYU:1","A","2021-11-10T05:42:59+00:00","2021-11-10T06:59:40.445+00:00",,"1951-01-01","4712-12-31"
300000234146670,"PHP",,"HCM_TRU","UNDP:PHP:1","A","2021-11-10T07:03:38+00:00","2021-11-10T07:05:21.932+00:00",,"1951-01-01","4712-12-31"
300000234135481,"VEF",,"HCM_TRU","UNDP:VEF:1","A","2021-11-10T05:45:06+00:00","2021-11-10T07:07:43.999+00:00",,"1951-01-01","4712-12-31"
300000234146743,"PKR",,"HCM_TRU","UNDP:PKR:1","A","2021-11-10T07:06:23+00:00","2021-11-10T07:08:15.149+00:00",,"1951-01-01","4712-12-31"
