"ActionId","ActionCode","ActionName","Description","StartDate","EndDate","ActionTypeId","ActionTypeCode","TerminationType"
300000000391366,"ADD_ASSIGN","Add Assignment","Add Assignment","1900-01-01","4712-12-31",300000000330828,"EMPL_ADD_ASG",
300000000391369,"ADD_CWK_WORK_RELATION","Add Contingent Work Relationship","Add Contingent Work Relationship","1900-01-01","4712-12-31",300000000330859,"EMPL_WR_CWK",
300000000391367,"ADD_CWK","Add Contingent Worker","Add Contingent Worker","1900-01-01","4712-12-31",300000000330829,"EMPL_ADD_CWK",
300000000391421,"HIRE_ADD_WORK_RELATION","Add Employee Work Relationship","Add Employee Work Relationship","1900-01-01","4712-12-31",300000000330860,"EMPL_WR_EMP",
300000000391371,"ADD_EMP_TERMS","Add Employment Terms","Add Employment Terms","1900-01-01","4712-12-31",300000000330833,"EMPL_ADD_TERMS",
300000000391372,"ADD_NON_WKR","Add Non-Worker","Add Non-Worker","1900-01-01","4712-12-31",300000000330831,"EMPL_ADD_NWK",
300000000391374,"ADD_NON_WKR_WORK_RELATION","Add Non-Worker Work Relationship","Add Non-Worker Work Relationship","1900-01-01","4712-12-31",300000000330861,"EMPL_WR_NWK",
300000000391453,"ORA_ADD_PWK_WORK_RELATION","Add Pending Work Relationship","Add Pending Work Relationship","1900-01-01","4712-12-31",300000000330870,"ORA_EMPL_WR_PWK",
300000000391376,"ADD_PEN_WKR","Add Pending Worker","Add Pending Worker","1900-01-01","4712-12-31",300000000330832,"EMPL_ADD_PWK",
300000232394846,"ADL","Additional Job","Additional Job","1951-01-01","4712-12-31",300000000330828,"EMPL_ADD_ASG",
300000000442324,"ADM_INDIV_CMP","Administer Individual Compensation","Administer Individual Compensation","1900-01-01","4712-12-31",300000000343446,"CMP_ADMIN_INDIV_COMPENSATION",
300000000442326,"ALLOCATE_GRP_CMP","Allocate Workforce Compensation","Allocate Workforce Compensation","1900-01-01","4712-12-31",300000000343449,"CMP_GROUP_COMPENSATION",
300000000391378,"ASG_CHANGE","Assignment Change","Assignment Change","1900-01-01","4712-12-31",300000000330834,"EMPL_CHANGE",
300000000442366,"CMP_GRADE_STEP_PROGRESSION","Automated Grade Step Progression","Automated Grade Step Progression","2000-01-01","4712-12-31",300000000343448,"CMP_GRADE_STEP_PROGRESSION",
300000000391383,"EMPL_CANCEL_WR","Cancel Work Relationship","Cancel Work Relationship","2001-01-01","4712-12-31",300000000330862,"ORA_EMPL_CANCEL_WR",
300000000391385,"EMPL_OFFER_CHANGE","Change Offer","Change Offer","2001-01-01","4712-12-31",300000000330867,"ORA_EMPL_OFFER_CHANGE",
300000000442336,"CHANGE_SALARY","Change Salary","Change Salary","1900-01-01","4712-12-31",300000000343447,"CMP_CHANGE_SALARY",
300000000391454,"ORA_EMPL_CHG_HIRE_DATE","Changes Hire Date","Change Hire Date","1900-01-01","4712-12-31",300000000330863,"ORA_EMPL_CHG_HIRE_DATE",
300000000391379,"CONTRACT_EXTENSION","Contract Extension","Contract Extension","1900-01-01","4712-12-31",300000000330838,"EMPL_CONTRACT_EXTN",
300000000391455,"ORA_EMPL_CONTRACT_UPDATE","Contract Update","Contract Update","2000-01-01","4712-12-31",300000000330865,"ORA_EMPL_CONTRACT_UPDATE",
300000000391484,"PER_JOB_NEW","Create","Create","1900-01-01","4712-12-31",300000000330880,"PER_JOB_CREATE",
300000000391487,"PER_LOC_NEW","Create","Create","1900-01-01","4712-12-31",300000000330885,"PER_LOC_CREATE",
300000000391492,"PER_ORG_NEW","Create","Create","1900-01-01","4712-12-31",300000000330887,"PER_ORG_CREATE",
300000000391496,"PER_POS_NEW","Create","Create","1900-01-01","4712-12-31",300000000330889,"PER_POS_CREATE",
300000000391482,"PER_JOB_FAMILY_NEW","Create","Create","1900-01-01","4712-12-31",300000000330881,"PER_JOB_FAMILY_CREATE",
300000000391463,"PER_GRD_LDR_NEW","Create","Create","1900-01-01","4712-12-31",300000000330873,"PER_GRD_LDR_CREATE",
300000000391472,"PER_GRD_RATE_NEW","Create","Create","1900-01-01","4712-12-31",300000000330876,"PER_GRD_RATE_CREATE",
300000000391386,"EMPL_OFFER_CREATE","Create Offer","Create Offer","2001-01-01","4712-12-31",300000000330868,"ORA_EMPL_OFFER_CREATE",
300000000391380,"DEATH","Death","Death","1900-01-01","4712-12-31",300000000330857,"EMPL_TERMINATE","VOLUNTARY"
300000000391462,"PER_GRD_LDR_DELETE","Delete","Delete","1900-01-01","4712-12-31",300000000330874,"PER_GRD_LDR_DELETE",
300000000391471,"PER_GRD_RATE_DELETE","Delete","Delete","1900-01-01","4712-12-31",300000000330877,"PER_GRD_RATE_DELETE",
300000000391495,"PER_POS_DELETE","Delete","Delete","1900-01-01","4712-12-31",300000000330890,"PER_POS_DELETE",
300000000391461,"PER_GRD_DELETE","Delete","Delete","1900-01-01","4712-12-31",300000000330872,"PER_GRD_DELETE",
300000000391481,"PER_JOB_FAMILY_DELETE","Delete","Delete","1900-01-01","4712-12-31",300000000330882,"PER_JOB_FAMILY_DELETE",
